TX,RX,Node Density,TX Power,Traffic Intensity,Protocol,Network Efficiency
6338560,0,0.00002,1,0.1,AODV,0
6338560,0,0.00002,1,0.1,OLSR,0
19025920,0,0.00002,1,0.3,AODV,0
19025920,0,0.00002,1,0.3,OLSR,0
38062080,0,0.00002,1,0.6,AODV,0
38062080,0,0.00002,1,0.6,OLSR,0
57098240,0,0.00002,1,0.9,AODV,0
57098240,0,0.00002,1,0.9,OLSR,0
6338560,1062912,0.00002,100,0.1,AODV,0.16769
6338560,660992,0.00002,100,0.1,OLSR,0.104281
19025920,2849792,0.00002,100,0.3,AODV,0.149785
19025920,1882624,0.00002,100,0.3,OLSR,0.0989505
38062080,3873792,0.00002,100,0.6,AODV,0.101776
38062080,3304448,0.00002,100,0.6,OLSR,0.0868173
57098240,4774912,0.00002,100,0.9,AODV,0.0836263
57098240,4445696,0.00002,100,0.9,OLSR,0.0778605
6338560,1243648,0.00002,250,0.1,AODV,0.196204
6338560,858624,0.00002,250,0.1,OLSR,0.13546
19025920,3742208,0.00002,250,0.3,AODV,0.19669
19025920,2609152,0.00002,250,0.3,OLSR,0.137137
38062080,7435776,0.00002,250,0.6,AODV,0.195359
38062080,4795392,0.00002,250,0.6,OLSR,0.125989
57098240,8793600,0.00002,250,0.9,AODV,0.154008
57098240,6362112,0.00002,250,0.9,OLSR,0.111424
6338560,2908672,0.00002,500,0.1,AODV,0.458885
6338560,1993216,0.00002,500,0.1,OLSR,0.314459
19025920,5072384,0.00002,500,0.3,AODV,0.266604
19025920,4009984,0.00002,500,0.3,OLSR,0.210764
38062080,5921280,0.00002,500,0.6,AODV,0.155569
38062080,5519872,0.00002,500,0.6,OLSR,0.145023
57098240,6850560,0.00002,500,0.9,AODV,0.119978
57098240,6624256,0.00002,500,0.9,OLSR,0.116015
6297600,0,0.0001,1,0.1,AODV,0
6297600,0,0.0001,1,0.1,OLSR,0
18995200,0,0.0001,1,0.3,AODV,0
18995200,0,0.0001,1,0.3,OLSR,0
38041600,0,0.0001,1,0.6,AODV,0
38041600,0,0.0001,1,0.6,OLSR,0
57088000,0,0.0001,1,0.9,AODV,0
57088000,0,0.0001,1,0.9,OLSR,0
6297600,1758208,0.0001,100,0.1,AODV,0.279187
6297600,680448,0.0001,100,0.1,OLSR,0.108049
18995200,2468864,0.0001,100,0.3,AODV,0.129973
18995200,2065408,0.0001,100,0.3,OLSR,0.108733
38041600,3080704,0.0001,100,0.6,AODV,0.0809825
38041600,3663872,0.0001,100,0.6,OLSR,0.0963122
57088000,2573312,0.0001,100,0.9,AODV,0.0450762
57088000,4856832,0.0001,100,0.9,OLSR,0.0850762
6297600,1486336,0.0001,250,0.1,AODV,0.236016
6297600,1141248,0.0001,250,0.1,OLSR,0.18122
18995200,2153984,0.0001,250,0.3,AODV,0.113396
18995200,3159040,0.0001,250,0.3,OLSR,0.166307
38041600,2213888,0.0001,250,0.6,AODV,0.0581965
38041600,4927488,0.0001,250,0.6,OLSR,0.129529
57088000,2220544,0.0001,250,0.9,AODV,0.0388969
57088000,5767680,0.0001,250,0.9,OLSR,0.101031
6297600,1610240,0.0001,500,0.1,AODV,0.255691
6297600,1620992,0.0001,500,0.1,OLSR,0.257398
18995200,1971200,0.0001,500,0.3,AODV,0.103774
18995200,3861504,0.0001,500,0.3,OLSR,0.203288
38041600,2168832,0.0001,500,0.6,AODV,0.0570121
38041600,5498368,0.0001,500,0.6,OLSR,0.144536
57088000,1936896,0.0001,500,0.9,AODV,0.0339283
57088000,6262272,0.0001,500,0.9,OLSR,0.109695
6297600,20992,0.0003,1,0.1,AODV,0.00333333
6297600,12288,0.0003,1,0.1,OLSR,0.00195122
18892800,62976,0.0003,1,0.3,AODV,0.00333333
18892800,36352,0.0003,1,0.3,OLSR,0.00192412
37939200,125440,0.0003,1,0.6,AODV,0.00330634
37939200,71680,0.0003,1,0.6,OLSR,0.00188934
56985600,187904,0.0003,1,0.9,AODV,0.00329739
56985600,106496,0.0003,1,0.9,OLSR,0.00186882
6297600,552960,0.0003,100,0.1,AODV,0.0878049
6297600,668160,0.0003,100,0.1,OLSR,0.106098
18892800,701440,0.0003,100,0.3,AODV,0.0371274
18892800,1715200,0.0003,100,0.3,OLSR,0.0907859
37939200,953856,0.0003,100,0.6,AODV,0.0251417
37939200,3528704,0.0003,100,0.6,OLSR,0.0930094
56985600,1016320,0.0003,100,0.9,AODV,0.0178347
56985600,4749824,0.0003,100,0.9,OLSR,0.0833513
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
6144000,95232,0.0006,1,0.1,AODV,0.0155
6144000,29184,0.0006,1,0.1,OLSR,0.00475
18739200,292352,0.0006,1,0.3,AODV,0.0156011
18739200,86528,0.0006,1,0.3,OLSR,0.00461749
37785600,573952,0.0006,1,0.6,AODV,0.0151897
37785600,174080,0.0006,1,0.6,OLSR,0.00460705
56832000,793088,0.0006,1,0.9,AODV,0.013955
56832000,260608,0.0006,1,0.9,OLSR,0.00458559
6144000,96768,0.0006,100,0.1,AODV,0.01575
6144000,727040,0.0006,100,0.1,OLSR,0.118333
